"search_keyword","url","title","summary","crawled_at","published_at","content","analysis_keywords","analysis_orgs","summary_ai","sentiment_label"
"코스닥","http://www.econonews.co.kr/news/articleView.html?idxno=398433","[상한가 종목] KR모터스-덕산하이메탈 이어 아이에이-해성옵틱스 등 상...","코스닥 시장에서는 덕산하이메탈, 삼기에너지솔루션즈, 아이에이, 해성옵틱스가 상한가를 기록했다. 삼기에너지솔루션즈는 29.9%(534원) 오른 2320원에 장을 마감했다. 덕산하이메탈은 30%(1260원) 상승한 5460원에... ","2025-07-30T22:21:34.200030","2025-07-30","KR모터스 주가흐름 (그래픽=네이버페이 증권 캡처)","['KR모터스', '주가', '주가흐름', '그래픽', '네이버페이 증권']","['KR모터스', '네이버페이 증권']","해당 기사는 KR모터스의 주가 흐름을 보여주는 그래픽 이미지를 포함하고 있습니다.  기사 내용 자체는 그래픽 이미지에 대한 설명만 존재합니다.  추가적인 정보는 제공되지 않습니다.","Neutral"
"코스닥","http://www.econonews.co.kr/news/articleView.html?idxno=398451","코스닥, 기관과 개인 매도에 하락 마감...레인보우로보틱스, 에코프로비...","뉴시스 그래픽 코스닥이 기관과 개인의 매도에 하락 마감했다. 30일 코스닥 지수는 전 거래일보다 0.1%(0.78포인트) 하락한 803.67에 거래를 마쳤다. 외인은 582억원을 순매수했지만 개인과 기관은 각각 40억원... ","2025-07-30T22:21:34.200076","2025-07-30","뉴시스 그래픽","['뉴시스', '그래픽']","['뉴시스']","뉴시스에서 제공한 그래픽 이미지에 대한 기사입니다.  구체적인 내용은 제시되지 않았습니다.","Neutral"
"코스닥","http://www.segye.com/newsView/20250730515863?OutUrl=naver","코스피, 장중 3269 ‘터치’… 연일 연고점 경신","이날 코스피는 전 거래일 대비 23.90포인트(0.74%) 상승한 3254.47, 코스닥은 0.78포인트(0.10%) 하락한 803.... 반면 코스닥 지수는 전장보다 0.78포인트(0.10%) 내린 803.67에 장을 마쳤다. 코스피는 전장보다 2.74포인트(0.08... ","2025-07-30T22:21:34.200106","2025-07-30","삼성전자 파운드리 계약 기대감 확산
LG엔솔 6조원 수주… 지수 동반 견인
외국인·기관 9000억대 쌍끌이 순매수
6일 연속 상승… 업계 “3300까지 갈 것”
코스피 지수가 6일 연속 상승세를 이어가며 장중 3260선을 돌파, 연고점을 또다시 갈아치웠다.
30일 서울 영등포구 한국거래소 전광판에 증시 종가가 표시되고 있다. 이날 코스피는 전 거래일 대비 23.90포인트(0.74%) 상승한 3254.47, 코스닥은 0.78포인트(0.10%) 하락한 803.67으로 장을 마쳤다.    뉴스1
30일 한국거래소에 따르면 이날 코스피 지수는 전장 대비 23.90(0.74%) 오른 3254.47에 장을 마감하며 종가 기준 연고점을 새롭게 썼다. 2021년 8월6일(3270.36) 이후 약 4년 만에 최고치다.
반면 코스닥 지수는 전장보다 0.78포인트(0.10%) 내린 803.67에 장을 마쳤다.
코스피는 전장보다 2.74포인트(0.08%) 오른 3233.31로 출발해 장중 상승폭을 키웠다. 특히 오후 한때 3269.40까지 올라 3270선 코앞까지 바짝 다가서며 장중 연고점을 다시 썼다. 장중 기준으로 사상 최고점을 찍었던 2021년 6월25일(3316.08) 이후 4년 만에 가장 큰 수치다.
투자자별로는 외국인과 기관이 각각 5788억원, 3306억원 순매수했고 개인은 9848억원을 순매도했다.
유가증권시장에서는 삼성전자와 테슬라 간 165억달러 규모의 파운드리 계약 기대감이 확산하며 코스피 지수 상승을 이끌었다. 이재용 삼성전자 회장이 미국 상호관세 발효를 앞두고 전날 미국 워싱턴 출장길에 나선 것도 투자심리 개선에 힘을 보탰다. 일론 머스크 테슬라 최고경영자(CEO)는 29일(현지시간) 사회관계망서비스(SNS)를 통해 “실제 파트너십이 어떤 모습이 될지 논의하기 위해 삼성의 회장 및 고위 경영진과 화상 통화를 했다”며 “양사의 강점을 활용해 훌륭한 성과를 거둘 것”이라고 밝혔다.
LG에너지솔루션 역시 고객사가 테슬라인 것으로 추정되는 6조원 규모의 리튬·인산·철(LFP) 배터리 수주 계약을 체결했다는 소식이 전해지면서 국내 반도체와 2차전지 관련주의 동반 상승을 견인했다.
코스피가 6거래일 연속 상승하며 장중 3260선을 돌파한 것은 외국인 매수세 확대와 글로벌 증시의 상호관세 관련 불확실성이 점차 해소된 영향으로 풀이된다.
증권업계에서는 이러한 흐름이 지속될 경우 코스피가 3300선까지 추가 상승할 수 있다는 전망도 내놓고 있다.
박미영 기자","['코스피', '상승', '삼성전자', '테슬라', '파운드리', 'LG에너지솔루션', '연고점']","['삼성전자', '테슬라', 'LG에너지솔루션', '한국거래소']","코스피 지수가 6일 연속 상승하며 3260선을 돌파, 연고점을 경신했습니다. 삼성전자와 테슬라 간 파운드리 계약 기대감과 LG에너지솔루션의 대규모 배터리 수주 소식이 상승을 견인했습니다. 외국인과 기관의 쌍끌이 매수세도 코스피 상승에 기여했습니다.","Positive"
"코스닥","http://www.todaykorea.co.kr/news/articleView.html?idxno=332638","무섭게 올라가는 코스피, 오늘도 연고점 갱신···테슬라 기대감에 삼...","(ESS)용 배터리 공급이 재개될 수 있다는 기대감이 반영된 것이란 관측이 나온다. 또한 삼성전기에 핵심 부품을 공급하는 덕산하이메탈도 코스닥 시장에서 전 거래일 대비 1260원(30.00%) 오른 5460원에 상승 마감했다.","2025-07-30T22:21:34.200132","2025-07-30","▲ 22일 저녁 서울 여의도에서 시민들이 이동하고 있다. 사진=투데이코리아
투데이코리아=김성훈 기자 | 코스피 지수가 6거래일 연속 상승하며 연고점을 새로 썼다.
30일 한국거래소에 따르면, 코스피는 전 거래일 대비 23.90포인트(0.74%) 오른 3254.47에 장을 마쳤다. 이는 종가 기준 2021년 8월 6일 이후 4년 만에 최고치이다.
지수는 전장보다 2.74포인트(0.08%) 오른 3233.31로 출발해, 장중 상승폭을 키우면서 한때 3269.4를 터치하기도 했다.
이날 외국인과 기관이 각각 6375억원, 3824억원어치를 순매수하며 지수를 끌어 올렸다. 개인은 1조902억원어치를 순매도했다.
김지원 KB증권 연구원은 “코스피가 역대 최고치를 약 50p 남겨둔 가운데 강세 흐름이 지속될 수 있을지 주목된다”며 “삼성전자와 빅테크 실적, 관세 협상 등 주요 이벤트의 결과가 예정돼 있어 변동성이 확대될 가능성도 있다”고 밝혔다.
▲ 여의도 증권가. 이미지=챗GPT
이날 상승률 1위 종목은 ‘KR모터스’이었다.
KR모터스는 전 거래일 대비 29.82% 상승한 653원에 거래를 마쳤다.
KR모터스는 1978년에 설립된 국내 모터사이클 전문 제조업체로, 1986년 아시안게임과 1988년 서울 올림픽에서 모터사이클 공식 공급업체로 선정되며 이름을 알린 기업이다.
이날 상승은 최대주주로부터 차입한 금액만큼을 유상증자를 통해 출자전환하겠다고 공시한 것과 관련한 기대감이 반영된 것이란 분석이 나온다.
앞서 KR모터스는 전날(29일) LVMC홀딩스로부터 빌린 돈 약 108억원과 LVMC홀딩스 최대주주인 개인 오세영으로부터 차입한 23억원을 출자전환하는 제3자배정 유상증자를 공시했다. 또한 사모펀드(PEF) 운용사 키움에프앤아이가 만든 특수목적법인(SPC) 라피너스콘코르디아제1호 사모투자 합자회사에게 130억원과 60억원 등 총 210억원 무기명 사모 전환사채를 발행한다고 밝혔다.
▲ 서울 서초구 삼성전자 서초사옥. 사진=투데이코리아
특히 삼성전기도 이날 급등했다.
삼성전기는 전 거래일 대비 1만4500원(10.55%) 오른  15만1900원에 거래를 마쳤다.
또한 삼성전기우도 9.11% 뛴 6만8300원에 상승 마감했다.
이를 두고 증권가에서는 삼성전자와 테슬라 간 AI6 반도체 공급 계약으로 삼성전기FC-BGA 사업의 수혜가 기대된다는 전망이 투심을 달군 것이란 관측이 나온다.
박강호 대신증권 연구원은 “삼성전기는 이전에 테슬라에 공급된 반도체인 AI4와 AI5를 만드는 데 필요한 FC-BGA를 공급하고 있다”며 “이번 공급 계약으로 테슬라와 삼성전자, 그리고 삼성전기의 협력 관계가 더 강화될 것”이라고 예상했다.
그러면서 “FC-BGA를 넘어 카메라, MLCC 등 삼성전기의 모든 사업에서 테슬라와의 관계가 구축·강화되는 중으로 판단된다”고 덧붙였다.
특히 삼성전자도 이날 2.83% 오른 7만2600원에 상승 마감하는 등 강세를 보였다.
이경민 대신증권 연구원은 이를 두고 “삼성과 테슬라의 협업이 삼성 파운드리의 인공지능(AI) 칩 위탁생산을 넘어 디스플레이, 전장, 배터리, 적층세라믹커패시터(MLCC) 등 전방위적인 전략적 파트너십이 될 수 있다는 기대감으로 확산되는 중”이라며 “과도한 기대는 경계해야겠으나 삼성그룹이 보유한 저력과 사업 포트폴리오의 강점이 부각되는 것”이라고 분석했다.
또한 삼성SDI도 전 거래일 대비 1만4900원(7.80%) 오른 20만6000원에 거래를 마쳤다.
이를 두고 증권가에서는 삼성SDI의 에너지저장장치(ESS)용 배터리 공급이 재개될 수 있다는 기대감이 반영된 것이란 관측이 나온다.
또한 삼성전기에 핵심 부품을 공급하는 덕산하이메탈도 코스닥 시장에서 전 거래일 대비 1260원(30.00%) 오른 5460원에 상승 마감했다.
▲ 서울 여의도 증권가 전경. 사진=투데이코리아","['코스피', '상승', '연고점', 'KR모터스', '삼성전자', '삼성전기', '테슬라', 'AI 반도체']","['KR모터스', '삼성전자', '삼성전기', '테슬라', 'KB증권', '대신증권', 'LVMC홀딩스', '키움에프앤아이']","코스피 지수가 6거래일 연속 상승하며 연고점을 경신했습니다. KR모터스는 유상증자 소식으로 급등했고, 삼성전자와 테슬라 간 AI 반도체 공급 계약 기대감에 삼성전기와 삼성SDI도 급등했습니다. 전문가들은 삼성전자와 테슬라의 협업이 전방위적인 전략적 파트너십으로 이어질 가능성을 언급했습니다.","Positive"
"금리인상","http://www.segye.com/newsView/20250730515853?OutUrl=naver","6월 은행권 주담대 금리 나홀로 ‘반등’","김민수 한은 금융통계팀장은 “6월 주담대 금리 상승은 기준금리 지표금리인 은행채 2년·5년물 금리가 오른 영향이 컸다”며 “6·27 대책은 영향을 줄 수 있는 시간이 적었고, 은행권의 가산금리 인상도 없었던... ","2025-07-30T22:21:37.954998","2025-07-30","금리 인하 지연에 은행채 상승 영향
가계대출 금리는 7개월째 하락 유지
지난달 은행권 가계대출 금리가 7개월 연속 하락했지만 주택담보대출(주담대) 금리는 5개월 만에 상승 전환한 것으로 나타났다. ‘6·27 대책’ 영향은 아직 본격화하지 않은 가운데 금리인하 속도 조절 기대 등이 지표금리를 끌어올렸기 때문으로 풀이된다.
서울 시내의 한 시중은행 내 대출상담 창구 모습. 뉴시스
30일 한국은행이 발표한 ‘6월중 금융기관 가중평균금리’에 따르면 지난달 예금은행의 신규취급액 기준 가계대출금리는 연 4.21%로 전월 대비 0.05%포인트 하락했다. 지난해 12월(4.72%) 이후 7개월 연속 하락세다.
다만 가계대출 가운데 주택담보대출(3.93%)은 전월보다 0.06%포인트 상승하며 지난 2월(4.23%) 이후 5개월 만에 평균금리가 올랐다. 전세자금대출(3.71%)도 전월 대비 0.01% 오르면서 7개월 만에 상승 전환했다. 반면 일반 신용대출(5.03%)은 0.18%포인트 내렸다.
가계·기업대출을 포함한 전체 은행권 대출금리(4.09%)는 0.08%포인트 내리면서 7개월 연속 하락했다. 예금은행의 신규취급액 기준 저축성 수신(예금)금리는 연 2.55%로 전월 대비 0.08%포인트 하락했다. 예대금리차(대출금리-예금금리)는 신규취급액 기준 1.54%포인트로 한 달 전과 같았다.
김민수 한은 금융통계팀장은 “6월 주담대 금리 상승은 기준금리 지표금리인 은행채 2년·5년물 금리가 오른 영향이 컸다”며 “6·27 대책은 영향을 줄 수 있는 시간이 적었고, 은행권의 가산금리 인상도 없었던 것으로 보인다”고 설명했다. 지표금리에 선반영됐던 기준금리 인하 기대가 조정을 받고 있다는 것이다.
주담대 등 향후 금리 전망에 대해서는 “은행채 5년물 금리가 6월 대비 7월에도 보합세를 유지 중이라 큰 변동을 보이지 않을 것”이라고 했다.
윤솔 기자","['가계대출', '금리', '주택담보대출', '은행채', '금리인하', '한국은행']","['한국은행']","지난달 은행권 가계대출 금리는 7개월 연속 하락했지만, 주택담보대출 금리는 5개월 만에 상승 전환했습니다.  한국은행은 은행채 금리 상승이 주담대 금리 상승의 주요 원인이라고 분석하며, 6·27 대책의 영향은 아직 미미하다고 설명했습니다.  일반 신용대출 금리는 하락세를 유지했습니다.","Neutral"
"금리인상","http://www.impacton.net/news/articleView.html?idxno=16006","'존스법 충족' 첫 美 해상풍력 케이블선 출범…&quot;일할 곳이 없다&quot;","코로나19 여파와 금리 인상으로 인한 원가 급등으로 다수의 해상풍력 프로젝트가 취소되거나 수십억 달러 규모의 손실이 발생했다. 여기에 트럼프 대통령의 복귀 이후 정책 리스크도 겹쳤다. 트럼프 대통령은... ","2025-07-30T22:21:37.955038","2025-07-30","미국산 바지선 마맥 306이 해상풍력 발전기를 육상 전력망에 연결하는 케이블을 매설하는 작업을 착수했다. / ChatGPT 이미지 생성
미국 해상풍력산업의 병목으로 꼽혀온 해저 전력 케이블 설치 문제를 해결할 수 있는 선박이 마침내 출범했지만, 정작 일할 곳이 없는 상황이다.
블룸버그는 29일(현지시각) 해상풍력 케이블 설치 전용 선박 ‘마맥 306(Marmac 306)’이 뉴욕 앞바다 엠파이어 윈드 프로젝트 현장에 배치돼 운항을 시작했지만, 향후 투입될 프로젝트 부족으로 운용 전망은 불투명하다고 보도했다.
해상풍력 병목 뚫은 ‘첫 선박’…그러나 수요는 줄어
마맥306은 미국 최초의 국적 해저 케이블 설치 전용 선박이다. 프랑스 해저케이블 전문기업 넥산스(Nexans)가 설계하고, 미국 선박운용사 크롤리(Crowley)가 건조·운영을 맡았다.
미국 연안항 간 운송을 미국 국적 선박에만 허용하는 ‘존스법’의 제약으로, 외국 기업들은 장비 운송과 시공에서 병목을 겪어 왔다. 마맥306은 이 법률 요건을 충족한 첫 케이블 선박으로, 향후 해상풍력 인프라 구축의 핵심 수단으로 기대를 모았다.
이번에 투입된
엠파이어 윈드1 프로젝트
는 에퀴노르와 BP가 공동 투자한 8억8500만달러(약 1조1600억원) 규모 사업이다. 마맥 306은 수직 인젝터(vertical injector) 장비를 이용해 해저 지반을 파서 전력 케이블을 매설, 뉴욕시와 해상풍력 터빈을 연결하는 작업을 수행 중이다.
시장 위축·정치 리스크…선박 활용 불투명
마맥 306의 출범은 미국 해상풍력산업의 전환점으로 평가되지만, 산업 전반의 전망은 어두운 상황이다. 마맥 306뿐 아니라
도미니언 에너지(Dominion Energy)의 해상풍력 터빈 설치선 카리브디스(Charybdis)
도 계획보다 적은 수의 프로젝트에만 배정될 가능성이 크다.
코로나19 여파와 금리 인상으로 인한 원가 급등으로 다수의 해상풍력 프로젝트가 취소되거나 수십억 달러 규모의 손실이 발생했다. 여기에 트럼프 대통령의 복귀 이후 정책 리스크도 겹쳤다.
트럼프 대통령은 해상풍력에 반대 입장을 밝혀 왔으며, 실제로 올해 봄 엠파이어 윈드 공사를 수주간 중단시키기도 했다. 이후
뉴욕 주지사와의 협상으로 작업이 재개
됐지만, 세제 혜택 조기 종료 등 불리한 조세정책도 시행됐다.
블룸버그NEF에 따르면 트럼프 재집권 이후 미국 내 해상풍력 프로젝트 신규 전망치는 56% 하락했다. 에퀴노르는 지난주 엠파이어 프로젝트에 대해
9억5500만 달러(약 1조3000억원)의 손상차손을 인식
했으며, 2단계 사업은 추진 가능성이 낮다고 밝혔다.
토그림 레이탄 에퀴노르 최고재무책임자(CFO)는 블룸버그TV와의 인터뷰에서 “가까운 시일 내 추가 프로젝트가 추진될 가능성은 매우 낮다”고 말했다.","['해상풍력', '케이블 설치 선박', '마맥 306', '엠파이어 윈드', '미국 해상풍력 산업', '존스법', '트럼프', '에퀴노르', 'BP']","['Nexans', 'Crowley', '에퀴노르', 'BP', 'Dominion Energy', '블룸버그NEF']","미국 최초의 해저 케이블 설치 전용 선박인 '마맥 306'이 운항을 시작했지만, 해상풍력 프로젝트 감소로 운용 전망이 불투명합니다. 코로나19, 금리 인상, 트럼프 정부의 정책 등으로 해상풍력 프로젝트가 취소되거나 손실을 보고 있으며, 향후 추가 프로젝트 추진 가능성은 낮다고 에퀴노르 CFO는 밝혔습니다.","Negative"
"금리인상","https://www.hankyung.com/article/202507302207i","유로존, 2분기 제로성장 예상 뒤집고 0.1% 성장","또 경제가 활성화되고 인플레이션이 다시 높아질 가능성이 높은 2026년말부터는 금리가 다시 인상할 가능성도 예상하고 있다. CNB와 인터뷰한 캐피털 이코노믹스의 유로존 부수석 경제학자인 잭 앨런-레이놀즈는... ","2025-07-30T22:21:37.955067","2025-07-30","유로존, 2분기 제로성장 예상 뒤집고 0.1% 성장
김정아 객원기자
기자 구독
입력
2025.07.30 19:13
수정
2025.07.30 19:27
글자크기 조절
기사 스크랩
기사 스크랩
공유
공유","['유로존', '2분기 성장', '경제 성장률', '0.1% 성장']","['유로존']","유로존이 2분기에 0.1% 성장했습니다. 이는 당초 예상치인 제로 성장을 웃도는 결과입니다.  자세한 내용은 기사 본문에 있습니다.","Positive"
"금리인상","https://www.topstarnews.net/news/articleView.html?idxno=15752624","한화솔루션, 실적 부진과 외국인 매도세로 주가 급락","실적 부진은 금리 인상, 국제 유가 불안정, 그리고 미국 태양광 정책의 불확실성 등 외부 요인과 맞물려 있다. iM증권은 7월 11일 리포트에서 &quot;OBBB 법안 최종 통과에도 여전히 불확실성이 존재한다&quot;고 언급했다. 특히, IRA... ","2025-07-30T22:21:37.955093","2025-07-30","(톱스타뉴스 김윤교 기자) 한화솔루션(009830)은 7월 30일 주가가 32,350원으로 전일 대비 5,750원(15.09%) 하락했다. 이날 주식의 거래량은 1,452만 주를 기록하며, 거래대금은 4,951억원에 달했다. 외국인은 3,134,841주를 순매도하며 주가 하락을 이끌었고, 기관도 322,185주를 순매도했다. 주가는 한때 31,950원까지 떨어졌으며, 이는 최근 몇 달간 지속된 상승세에서 급격한 하락을 나타낸다.
주요 원인으로는 한화솔루션의 실적 부진과 외국인 매도세가 맞물려 있음을 알 수 있다. 2분기 영업이익은 1,231억원으로 예상되며, 이는 컨센서스 1,404억원을 하회하는 수치로, 시장 예상보다 낮은 실적을 기록할 것으로 보인다. 특히, 태양광 사업 부문에서 모듈 출하량 증가와 AMPC의 확대에도 불구하고 주택용 에너지 사업에서의 부진과 관련된 불확실성이 주가에 영향을 미친 것으로 분석된다.
[그래프] 한화솔루션 주가 추이
실적 부진은 금리 인상, 국제 유가 불안정, 그리고 미국 태양광 정책의 불확실성 등 외부 요인과 맞물려 있다. iM증권은 7월 11일 리포트에서 ""OBBB 법안 최종 통과에도 여전히 불확실성이 존재한다""고 언급했다. 특히, IRA 개정안과 관련된 불확실성이 여전히 존재하고 있으며, 중국산 부품에 대한 세금 부과 폐지와 같은 정책 변화가 공급망에 부담을 줄 수 있다는 우려가 커지고 있다. 이러한 외부 불확실성은 한화솔루션의 실적 전망을 더 어둡게 만들고 있다.
또한, 한화솔루션의 주요 사업 부문인 태양광과 케미칼 부문은 당분간 재무 구조 개선이 필요할 것으로 보인다. 2분기 실적에서는 태양광 부문이 적자를 기록할 것으로 예상되며, 케미칼 부문 역시 정기 보수 비용이 종료되었음에도 불구하고 여전히 적자를 기록할 가능성이 있다. 그러나 한화투자증권은 태양광 사업 부문에서 미국 모듈 가격 상승과 수요 확대가 긍정적인 요소로 작용할 것이라고 전망하며, 목표주가를 42,000원으로 유지했다.
[표] 증권사별 투자의견 및 목표주가
주가는 실적 부진과 외국인 매도세로 단기적으로 하락했지만, 중장기적으로는 미국 태양광 시장의 수요 증가와 관련된 긍정적인 요소가 주가 회복의 여지를 남기고 있다. 특히, IRA 법안의 개정이 실현되면 한화솔루션의 태양광 사업 부문은 다시 성장 모멘텀을 확보할 수 있을 것이다. 그럼에도 불구하고, 단기적인 불확실성과 실적 부진은 향후 주가에 부담을 줄 수 있는 중요한 변수로 작용할 것이다.
[본 기사는 투자 권유 목적이 아닙니다. 기사 내용은 외신 혹은 증권사 견해를 종합한 것으로, 투자를 권유하기 위해 작성된 내용은 아닙니다. 이 기사 내용에 전적으로 의존해 투자 결정을 하지 않기를 바랍니다. 모든 투자는 개인의 판단에 따라 이루어지며, 이에 대한 최종 책임은 투자자 본인에게 있습니다. 본지는 독자의 투자 결과에 대해 어떠한 책임도 지지 않습니다.]","['한화솔루션', '주가 하락', '실적 부진', '외국인 매도', '태양광 사업', 'IRA', 'OBBB 법안']","['한화솔루션', 'iM증권', '한화투자증권']","한화솔루션 주가가 15% 넘게 급락했습니다.  2분기 실적 부진과 외국인 매도세가 주요 원인으로 분석됩니다.  태양광 사업 부진과 미국 태양광 정책 불확실성이 실적에 영향을 미쳤으며,  중장기적으로는 미국 태양광 시장 수요 증가가 긍정적 요소로 작용할 것으로 전망됩니다.","Negative"
"금리인상","https://www.kpinews.kr/newsView/1065600668792787","생보업계 신계약 8.9% 급감…실적 '빨간불'","갑작스러운 금리 인상 충격으로 시장이 크게 위축됐던 2022년(563만 건, 88조6777억 원)과 유사한 수준이다. 계약 금액 기준으로는 당시보다도 낮아졌다. ▲ 22개 생명보험사 연도별 1~4월 누적 신계약 건수 추이.... ","2025-07-30T22:21:37.955117","2025-07-30","생명보험사들의 신계약 실적이 올해 들어 큰 폭으로 감소했다. 지난해 과열 양상을 보였던 단기납 종신보험 판매가 줄어든 영향으로 풀이된다.

30일 생명보험협회의 월간통계에 따르면, 22개 생명보험사의 올해 1~4월 누적 신계약 건수는 570만284건, 신계약 금액은 82조9752억 원을 기록했다. 이는 지난해 같은 기간(625만5749건, 90조5354억 원) 대비 각각 8.9%, 8.4% 줄어든 수치다.

갑작스러운 금리 인상 충격으로 시장이 크게 위축됐던 2022년(563만 건, 88조6777억 원)과 유사한 수준이다. 계약 금액 기준으로는 당시보다도 낮아졌다.

회사별로는 동양생명이 전년 동기 대비 47.3% 급감하며 가장 큰 낙폭을 보였다. 이어 하나생명(-45.9%), ABL생명(-28.3%), 신한라이프(-26.0%), 라이나생명(-24.1%) 등도 20% 이상의 큰 폭의 감소세를 보였다.

업계 '빅3'로 불리는 대형사들도 예외는 아니었다. 삼성생명(-17.9%), 한화생명(-13.5%), 교보생명(-13.6%) 모두 두 자릿수 감소율을 기록했다.

지난해 단기납 열풍이 불었던 것으로 인한 기고효과로 여겨진다.단기납 보험은 일정 기간 보험료를 납입하고 종신 보장을 받는 상품이다. 단기납 상품들은 생보사 매출을 단기간에 끌어올리는 효과가 있었지만 특정 시점에 대량 해약이 발생할 수 있다는 점이 약점이다. 이에 따라 지난해 하반기 금융당국이 개입해 환급률을 제한하면서 과당 경쟁은 일단락됐다.

보험업계 관계자는 ""지난해 보험사들이 납입금 대비 높은 환급률을 경쟁적으로 제시하면서 판매 경쟁이 과열됐다""며 ""단기납 상품의 신계약 기여도가 높았기 때문에, 상대적으로 올해 감소폭이 두드러지는 것으로 보인다""고 설명했다.

미래에셋생명처럼 단기납 상품에 그리 힘쓰지 않았던 생보사는 올해 신계약 실적이 오히려 개선됐다. 미래에셋생명의 신계약 건수는 전년 동기 대비 26.2% 늘었고, 신계약 금액은 같은 기간 14.8% 증가했다. 미래에셋생명 관계자는 ""작년 단기납 과열 경쟁에 뛰어들지 않고, 건강보험 쪽으로 포트폴리오를 집중한 결과""라고 말했다.

신계약 감소는 보험손익 감소 현상을 불러 실적에 부정적인 영향을 미칠 가능성이 크다. 실제 상반기 실적이 비교적 일찍 발표된 생보사들을 살펴보면 신한라이프는 상반기 보험손익이 3698억 원으로 전년 대비 9% 줄었다. KB라이프도 1517억 원으로 7.4% 감소했다.

문제영 보험연구원 연구위원은 ""신계약이 줄면 수입보험료와 보험영업수익이 축소되면서 운용자산 총액 감소로 이어진다""며 ""다른 생보사들도 먼저 실적이 나온 두 회사들과 같은 현상을 겼을 수 있다""고 전망했다.

보험업계 관계자는 ""규제에 따른 충격이 점차 소화되고 대체 상품 출시 등의 노력 효과가 나타날 것""이라며 ""하반기 이후에는 안정화될 것""이라고 기대했다.

[인터뷰] 김헌동 ""李대통령, 집값 해법 잘 알아…문제는 실행력""

美는 왜 한국인 '냅코' 비밀 요원 포로수용소에 가뒀나

'본업' 展…생업과 예술 사이서 핀 36인 예술가의 대서사","['생명보험', '신계약 감소', '단기납 종신보험', '보험손익 감소', '금융당국 규제', '미래에셋생명']","['생명보험협회', '삼성생명', '한화생명', '교보생명', '동양생명', '하나생명', 'ABL생명', '신한라이프', '라이나생명', '미래에셋생명', 'KB라이프', '신한라이프', '보험연구원']","올해 1~4월 생명보험사들의 신계약 실적이 지난해 같은 기간 대비 8% 이상 감소했습니다.  지난해 과열됐던 단기납 종신보험 판매 감소가 주요 원인이며,  일부 회사는 40%가 넘는 감소율을 보였습니다.  단기납 상품에 집중하지 않은 미래에셋생명은 오히려 신계약 실적이 증가했습니다.","Negative"
"금리인상","https://biz.chosun.com/stock/stock_general/2025/07/30/MWCWKSN6YNBXVBKJ2VFDIWVA3Q/?utm_source=naver&utm_medium=original&utm_campaign=biz","풋옵션 조기상환일 임박한 케이옥션 “금리 올려줄 테니 행사하지 마”","국내 양대 미술품 경매 업체 중 한 곳인 케이옥션이 전환사채(CB)의 조기상환을 막기 위해 ‘금리 인상’이라는 카드를 꺼내 들었다. 연 0%였던 CB 금리를 2.8%로 상향 조정해준 것이다. 금리는 은행 대출 금리보다는... ","2025-07-30T22:21:37.955141","2025-07-30","[실패] 모든 추출 방법 실패","['케이옥션', '전환사채(CB)', '조기상환', '금리 인상', 'CB 금리']","['케이옥션']","케이옥션이 전환사채(CB)의 조기상환을 막기 위해 CB 금리를 0%에서 2.8%로 인상했습니다.  은행 대출 금리와의 비교 등 자세한 내용은 기사 본문에 있습니다.","Neutral"
