search_keyword,url,title,summary,crawled_at,published_at,content
코스피,https://biz.heraldcorp.com/article/10544884?ref=naver,"증권주, 세제개편안 발표 영향 줄약세…신영증권 5%대 하락 [종목Pick]","한지영 키움증권 연구원은 이날 증권주를 비롯한 코스피가 하락한 오전 상황에 대해 세제개편안... 많이 몰린 코스피 대형주, 기본적으로 개인 비중이 높은 코스닥을 중심으로 부진한 흐름을 보이고 있다”고 했다.",2025-08-01T11:32:19.346130,2025-08-01,"미래에셋증권(-4.14%), 삼성증권(-3.95%) 등"
코스피,http://www.choicenews.co.kr/news/articleView.html?idxno=151516,각국 관세 희비 속...장중 아시아10개국 증시 '혼조',같은 시각 한국증시 코스피 지수는 3153.01로 2.85%나 하락 중이다. 이 시각 홍콩증시 항셍 지수는 2만4733.69로 0.16% 하락 중이다. 이 시각 중국증시 상하이종합지수는 3571.26으로 0.05% 하락 중이다. 이 시각... ,2025-08-01T11:32:19.346130,2025-08-01,
코스피,http://www.beyondpost.co.kr/view.php?ud=2025080111204173462aaae0046f_30,"&quot;양도세 강화하면 어느 바보가 '국장' 투자하나!...정부, 세제개편안에...","정의연 한투연 대표는 “대주주 기준 하향은 부동산 공화국을 더욱 공고하게 만드는 초대형 악수가 될 것”이라며 “이재명 대통령이 주창한 코스피 5000 시대는 허무맹랑한 구호에 그치고, 오히려 코스피 2000 시대... ",2025-08-01T11:32:19.346130,2025-08-01,"국회 반대청원, 하루만에 1만8천명 넘어...분리과세도 너무 복잡해 삼성전자 SK하이닉스 해당 안될 듯
[비욘드포스트 이성구 전문위원]  정부가 양도소득세 대주주 기준을 50억 원에서 10억 원으로 강화하는 등 세제개편안을 발표하자 개인 투자자 중심으로 거센 반발이 나타나고 있다. 양도소득세 기준 변경을 반대하는 국민청원은 공개 하루 만에 1만 7000명이 넘는 투자자가 동의하는 등 반대 여론이 확산 중이다.
1일 국회 전자청원에 따르면 지난달 31일 등록된 ‘대주주 양도소득세 하향 반대에 관한 청원’은 오전 11시 20분 현재 1만8330명이 동의한 것으로 집계됐다. 국회 국민동의 청원은 한 달 내 5만 명이 넘는 동의를 받으면 관련 상임위원회에 안건이 회부된다.
정부는 주식 양도세가 부과되는 대주주 기준을 기존 ‘종목당 50억 원 이상’에서 ‘10억 원 이상’으로 다시 강화했다. 과세를 회피하기 위해 매년 말 매도 물량이 쏟아지면서 증시 출렁임이 극심해지자 윤석열 정부에서 기준을 50억 원으로 상향한 것을 다시 원상복구 한 것이다. 이에 개인 투자자들이 많은 코스닥 시장을 중심으로 11~12월 주식을 순매도한 뒤 연초에 다시 사들이는 패턴이 반복될 것이라는 우려가 커지고 있다.
해당 청원 작성자는 “양도소득세는 연말에 회피하기 위해 팔면 그만인 법안인데 연말마다 회피 물량이 쏟아지면 미국처럼 우상향할 수 없다”며 “미장이랑 국장 세금이 똑같으면 어느 바보가 국장을 하겠냐”고 반발했다.
그러면서 “국장에서 돈 많이 번 것도 아니고 많이 들고 있는 것이 죄라서 내는 세금이면 당연히 미장으로 갈 것”이라며 “10억 원으로 사다리 걷어차지 말고 제발 국장에서 장기 투자하는 문화, 텐베거(10배 수익률) 꿈 좀 지켜달라”고 호소했다.
한국주식투자자연합회도 양도세 대주주 요건 강화에 대한 반대 입장을 내고 국회 앞에서 시위에 나섰다. 정의연 한투연 대표는 “대주주 기준 하향은 부동산 공화국을 더욱 공고하게 만드는 초대형 악수가 될 것”이라며 “이재명 대통령이 주창한 코스피 5000 시대는 허무맹랑한 구호에 그치고, 오히려 코스피 2000 시대 회귀 가능성이 더 높다”고 반발했다.
배당소득 분리과세도 당초 이소영 더불어민주당 의원이 낸 법안 대비 적용 요건이 까다롭고 일부 구간의 세율도 높게 설정되면서 실망감이 큰 상태다.
기획재정부는 31일 첫 세제 개편안을 발표하면서 고배당 기업 기준은 배당성향이 40% 이상인 기업이거나 직전 3년 대비 5% 이상 배당이 증가하고 배당성향이 25% 이상인 기업으로 규정했다.
소득별 적용 세율은 2000만원 이하 14%, 2000만원~3억원 20%, 3억원 초과 35%다.
우선 전년도 대비 현금 배당이 줄지 않은 기업 가운데 배당성향이 40%를 초과하는 경우, 배당성향이 25% 초과하고 최근 3년 평균 배당금을 5% 이상 늘린 경우 등으로 복잡하다. 배당소득 3억 원 초과 구간에 적용되는 세율도 당초 25%에서 35%(지방소득세 포함 시 38.5%)가 부과될 예정이다.
이에 당초 시장 기대보다 조건이 강화되고 최고세율이 높아 정책 효과가 제한될 수 있다는 지적이 나온다.
이성구 전문위원 news@beyondpost.co.kr"
코스피,https://www.mk.co.kr/article/11382880,李정부 증권거래세 인상에…한동훈“코스피 5000 공언하고선 국장 탈출...,"대해 “코스피 5000 시대를 공언해 놓고, 정반대로 국장 탈출을 유도한다”고 강하게 비판했다. 한 전 대표는... 국장 코스피 5000 시대를 공언해 놓고, 정반대로 ‘국장 탈출’을 유도하는 세금인상 정책들을 줄줄이... ",2025-08-01T11:32:19.346130,2025-08-01,[실패] 본문 영역 추출 실패
코스피,https://www.job-post.co.kr/news/articleView.html?idxno=166191,"삼성전기, 8월 1일 장중 146,100원 하락 흐름","삼성전기의 시가총액은 10조 9,127억 원으로 코스피 시가총액 순위 50위를 차지하고 있다. 현재 PER은 18.00배로, 동일업종 PER 35.39배와 비교하면 낮은 수준이다. 동일업종 등락률 또한 -2.09%를 기록하며 업종... ",2025-08-01T11:32:19.346130,2025-08-01,
코스피,https://www.news1.kr/finance/general-stock/5866331,이진우 메리츠 센터장 &quot;시장 기대 못 미친 정책 모멘텀…급락 땐 저가 ...,"박승희 한유주 기자 = 이진우 메리츠증권 리서치센터장이 1일 코스피 급락의 원인을' 정책 모멘텀 약화'라고... 그간 코스피가 전 세계 증시 중 압도적인 급등세를 기록한 만큼, 일부 조정은 예상 범위였다는 게 그의... ",2025-08-01T11:32:19.347135,2025-08-01,"관련 키워드
증시·암호화폐
박승희 기자
김학균 신영증권 센터장 ""'관세 시대' 우려에 코스피 급락…판 깰 정도 아냐""
한투證 ""HD현대중공업, 이제 해양까지 좋아졌다…투자의견 '매수' 상향""
한유주 기자
'세제개편 폭탄' 코스피, 3.5% 급락…시총 100대 종목 모두 '파란불'
'조선업 호재' 올라탄 대한조선, 코스피 상장 첫날 80%대 급등[핫종목]
관련 기사
그레이스케일, 가상자산 신탁 상품군에 스토리 '$IP' 토큰 편입
HS효성, '집사게이트' 압수수색 소식에…주가 5% 하락[핫종목]
""이때다"" 코스피 3% 급락에…개미는 나홀로 '1조' 폭풍매수
김학균 신영증권 센터장 ""'관세 시대' 우려에 코스피 급락…판 깰 정도 아냐""
""8월은 비트코인 비수기…11만 2000달러까지 하락 가능성""[코인브리핑]"
코스피,https://www.etnews.com/20250801000097,"[속보]코스피, 3,150대 후퇴…코스닥도 3% 급락","코스피가 1일 장중 낙폭을 키워 3,150대로 밀려났다. 코스닥지수도 3% 넘게 급락 중이다. 이날 오전 11시 15분 현재 코스피는 전장보다 88.66포인트(2.73%) 내린 3,156.92다. 지수는 전장보다 35.12포인트(1.08... ",2025-08-01T11:32:19.347135,2025-08-01,"코스피가 1일 장중 낙폭을 키워 3,150대로 밀려났다. 코스닥지수도 3% 넘게 급락 중이다.
이날 오전 11시 15분 현재 코스피는 전장보다 88.66포인트(2.73%) 내린 3,156.92다. 지수는 전장보다 35.12포인트(1.08%) 내린 3,210.32로 출발해 낙폭을 키우고 있다.
같은 시각 코스닥지수는 전장보다 24.65포인트(3.10%) 하락한 780.30이다. 지수는 전장보다 9.00포인트(1.12%) 내린 796.24로 출발해 하락폭을 키우고 있다.
한편 원/달러 환율도 약 두 달만에 장중 1400원을 다시 돌파했다.
김태권 기자 tkkim@etnews.com"
코스피,https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003153235&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,주주환원과 과세형평... '2025 세제개편안'의 두 얼굴,"▲  한미 무역협상이 타결된 7월 31일 서울 중구 하나은행 딜링룸 현황판에 코스피 지수 등이 표시되고 있다. 이날 코스피 지수는 전 거래일 대비 9.03포인트(0.28%) 내린 3,245.44에, 코스닥은 1.57포인트(0.20%) 오른 805.24에 장을... ",2025-08-01T11:32:19.347135,2025-08-01,[실패] 본문 영역 추출 실패
코스피,https://biz.heraldcorp.com/article/10544852?ref=naver,"관세협상 결과·세제 개편안 실망…코스피, 3200선 붕괴",바라봤던 코스피 지수가 급락세를 보이며 3100선 붕괴까지 걱정하는 상황을 맞이했다. 대외적으로 한·미... ▶관련기사 2면 1일 한국거래소에 따르면 오전 10시 40분 현재 코스피 지수는 전 거래일 대비 95.99포인트(2.... ,2025-08-01T11:32:19.347135,2025-08-01,"두달여만에 원/달러 환율 1400원
외국인·기관투자자 폭풍 매도세"
코스피,https://www.stardailynews.co.kr/news/articleView.html?idxno=496339,삼성바이오로직스 하락세 이어져…대형주 전반 부진,"57배 수준이다. 시가총액은 74조 3,057억 원으로 코스피 4위를 유지하고 있으며, 외국인 보유율은 12.91%다. 52주 최고가는 1,209,000원, 최저가는 853,000원으로, 현재 주가는 고점 대비 약 13.6% 하락한 수준이다.",2025-08-01T11:32:19.347135,2025-08-01,
코스피,http://www.opinionnews.co.kr/news/articleView.html?idxno=121743,"코스피, 시총 상위 60개 중 57개 '파란불'...지수 3%대 하락 속 개인 1조...",사진=연합뉴스  코스피 시가총액 상위 60개 종목 중 57개가 약세를 보이면서 지수가 3%대 하락을... 한국거래소에 따르면 오전 11시 기준 코스피는 전일 대비 2.94%(95.29) 내린 3150.15를 기록 중이다. 오전 10시... ,2025-08-01T11:32:19.347135,2025-08-01,"기아·한화오션·현대글로비스 외 모두 하락
세재개편 실망감에 상위종목 부진
삼성전자 -1.82%·하이닉스 -5.3% 등
조선·금융주도 일제히 약세
외인·기관 1조543억 순매도"
코스피,http://facttv.kr/facttvnews/detail.php?number=42406&thread=21r02,[영상] “코스피 불장 속보 봤나?”... 국힘 ‘관세 협상’ 폄하에 김병...,2025년 8월 1일 국회에서 더불어민주당 최고위원회의가 진행되었다. 진실언론 팩트TV가 독자 여러분의 소중한 제보를 받습니다.뉴스 가치나 화제성이 있다고 판단되는 영상을 ()으로,2025-08-01T11:32:19.347135,2025-08-01,[실패] 본문 영역 추출 실패
코스피,http://www.joseilbo.com/news/news_read.php?uid=549550&class=53&grp=,"[주가동향]  韓 증시, ‘관세·금리·세제개편’ 3중고(?)에 급락...3100선...","한국거래소에 따르면, 1일 오전 11시 현재 코스피는 전날보다 95.29포인트(2.94%)가 빠진 3150.15를... 코스피 주요 종목별로 보면 같은 시각 삼성전자는 1.82% 7만100원에 거래되고 있다. 시간이 지날수록 낙폭을... ",2025-08-01T11:32:19.347135,2025-08-01,[실패] 본문 영역 추출 실패
코스피,https://www.ggilbo.com/news/articleView.html?idxno=1104612,"인포바인 주가, 급등... 배경은?",더불어민주당 내 '코스피 5000 특별위원회' 소속 김남근 민주당 의원은 자사주를 취득일 기준 1년 내 의무 소각하는 법안을 대표 발의했다. 다만 임직원 보상 등 목적은 예외로 했다. 같은 당인 김현정 의원은 자사주를... ,2025-08-01T11:32:19.347135,2025-08-01,"인포바인 주가가 가파른 상승 곡선을 그리고 있다.
1일 오전 11시 15분 KRX 기준 인포바인은 전 거래일 대비 24.29%(1만5400원) 오른 7만8800원에 거래 중이다.
앞서 인포바인은 정치권에서 자사주 소각 상법 개정안을 발의하면서 관련주로 강세를 보인 바 있다.
인포바인은 모바일 인증 및 결제 서비스를 주력으로 하는 IT 기업으로, 현재 자사주 비율이 전체 발행 주식의 51.45%에 이르며 이는 코스닥 시장에서 가장 높은 수준에 해당한다.
향후 자사주 소각이 이뤄질 경우, 유통 주식 수 감소에 따라 주당 가치 상승 및 주주가치 제고 효과가 가장 크게 기대되는 종목으로 전망된다.
더불어민주당 내 '코스피 5000 특별위원회' 소속 김남근 민주당 의원은 자사주를 취득일 기준 1년 내 의무 소각하는 법안을 대표 발의했다. 다만 임직원 보상 등 목적은 예외로 했다.
같은 당인 김현정 의원은 자사주를 취득하는 즉시 소각하도록 하는 상법 개정안을 대표 발의한 상황이다.
[알림] 본 기사는 투자판단의 참고용이며, 이를 근거로 한 투자손실에 대한 책임은 없습니다."
코스피,https://biz.heraldcorp.com/article/10544836?ref=naver,주진우 “우리가 얻은 건 ‘李대통령 축하’ 한 줄뿐”…대미 협상 비판,"이어 “법인세 올려 증세하고, 노란봉투법 개정해서 파업 늘어나면 기업이 배겨날 수 있겠는가”라며 “말로만 ‘코스피 5000 시대’를 외쳐도 기업의 실적이 뒷받침되지 않으면 달성될 수 없다”고 덧붙였다. 아울러 주... ",2025-08-01T11:32:19.347135,2025-08-01,"대미 투자·관세 등 기업 부담 지적
“국내 일자리 그만큼 줄게 된다”
‘막말 논란’ 최동석 경질 재차 촉구"
